Unnamed: 0,l1_noisy,l2_noisy,err_l1_noisy,err_l2_noisy
0,[0.9809681],[0.0036026],[1.9031882],[13.179165]
1,[0.95404196],[0.0033038],[4.595804],[3.7919567]
2,[0.9772334],[0.00333264],[2.276659],[4.697971]
3,[0.97333],[0.0032878],[2.666998],[3.289203]
4,[0.9934431],[0.00318168],[0.6556928],[0.04456048]
5,[0.9817742],[0.00325728],[1.8225789],[2.3305967]
6,[0.98071426],[0.00358202],[1.9285738],[12.532592]
7,[0.9890558],[0.00359169],[1.0944188],[12.83639]
8,[0.9858547],[0.00299386],[1.4145315],[5.945233]
9,[0.9892558],[0.00332636],[1.0744214],[4.5005574]
10,[0.9840003],[0.00352477],[1.5999675],[10.734008]
11,[0.9704891],[0.00320914],[2.9510915],[0.8182101]
12,[0.9824918],[0.0033628],[1.7508209],[5.6453495]
13,[0.9906079],[0.00325906],[0.93920827],[2.3862388]
14,[0.983377],[0.00336041],[1.662302],[5.570411]
15,[0.9964932],[0.00334029],[0.35067797],[4.938336]
16,[0.99031615],[0.003422],[0.96838474],[7.505377]
17,[0.9791206],[0.00389716],[2.0879388],[22.432877]
18,[0.9819877],[0.00333894],[1.8012285],[4.8958087]
19,[0.979197],[0.00308449],[2.0802975],[3.0979629]
20,[0.99156606],[0.00352105],[0.8433938],[10.617062]
21,[0.9857537],[0.00334272],[1.4246285],[5.014722]
22,[0.98798835],[0.00326983],[1.2011647],[2.724641]
23,[0.99189645],[0.00357519],[0.81035495],[12.318048]
24,[0.98349935],[0.00328035],[1.6500652],[3.0550776]
25,[0.98716134],[0.00315337],[1.2838662],[0.93405855]
26,[0.9793369],[0.00316209],[2.0663083],[0.65992963]
27,[0.9638583],[0.00336095],[3.6141694],[5.5873814]
28,[0.9911316],[0.00314933],[0.8868396],[1.0608131]
29,[0.9876863],[0.00340886],[1.2313724],[7.0924826]
30,[0.98544955],[0.00349635],[1.4550447],[9.84121]
31,[0.99216604],[0.00347741],[0.78339577],[9.246154]
32,[0.9917369],[0.00309639],[0.8263111],[2.7240777]
33,[0.9794451],[0.00347087],[2.05549],[9.040739]
34,[0.99371445],[0.00299576],[0.6285548],[5.885429]
35,[0.9702663],[0.00306556],[2.9733717],[3.6926098]
36,[0.9788111],[0.0033247],[2.1188915],[4.448653]
37,[0.9845923],[0.00334353],[1.5407681],[5.0399575]
38,[0.99160826],[0.00358145],[0.8391738],[12.514612]
39,[0.9840587],[0.00321186],[1.5941322],[0.90367377]
40,[0.98171145],[0.00315409],[1.8288553],[0.91147107]
41,[0.98751813],[0.00346609],[1.2481868],[8.890577]
42,[0.97886616],[0.00322366],[2.113384],[1.2744064]
43,[0.99013966],[0.00323187],[0.9860337],[1.5321287]
44,[0.9815349],[0.00352129],[1.8465102],[10.62445]
45,[0.98798424],[0.0033462],[1.201576],[5.123841]
46,[0.9917911],[0.00333162],[0.8208871],[4.6658306]
47,[1.0027874],[0.00354792],[0.27873516],[11.461151]
48,[0.988458],[0.00316806],[1.1542022],[0.47241282]
49,[0.995295],[0.00352799],[0.47050118],[10.835014]
50,[0.9787289],[0.00324037],[2.127111],[1.799338]
51,[0.9885566],[0.00315707],[1.1443377],[0.81773454]
52,[0.98513335],[0.00351259],[1.486665],[10.351381]
0,[0.99389505],[0.00323905],[0.6104946],[1.7576009]
1,[0.98645914],[0.00351537],[1.3540864],[10.438505]
2,[0.99395454],[0.00327633],[0.60454607],[2.928908]
3,[0.9677485],[0.0033159],[3.2251477],[4.172103]
4,[0.9756851],[0.00324004],[2.431488],[1.7889953]
5,[0.9916702],[0.00342437],[0.8329809],[7.579839]
6,[0.9969693],[0.00332043],[0.30307174],[4.314416]
7,[0.99770445],[0.00301214],[0.22955537],[5.370767]
8,[0.98560214],[0.00343313],[1.439786],[7.8550434]
9,[0.9798219],[0.0036962],[2.017808],[16.119543]
10,[0.97886705],[0.00322655],[2.1132946],[1.3651365]
11,[0.9918544],[0.00324195],[0.8145571],[1.8488139]
12,[0.98532736],[0.00351771],[1.4672637],[10.5122]
13,[0.9607755],[0.00427254],[3.9224505],[34.22573]
14,[0.9842416],[0.0036768],[1.5758395],[15.509974]
15,[0.97342294],[0.00369747],[2.6577055],[16.159582]
16,[0.9786944],[0.00353331],[2.130562],[11.002255]
17,[0.98449177],[0.00345366],[1.5508235],[8.499781]
18,[0.98856026],[0.00353201],[1.1439741],[10.961396]
19,[0.9951507],[0.00347121],[0.48493147],[9.051345]
20,[0.98490167],[0.00311681],[1.5098333],[2.0824637]
21,[0.9816432],[0.00311271],[1.83568],[2.2113395]
22,[0.98279685],[0.0034582],[1.7203152],[8.64251]
23,[0.9918609],[0.00332776],[0.8139074],[4.544767]
24,[0.9853291],[0.00342592],[1.4670908],[7.628584]
25,[0.98971504],[0.00330155],[1.028496],[3.7211075]
26,[0.9977703],[0.0031949],[0.22296906],[0.37087166]
27,[0.9811905],[0.00330438],[1.8809497],[3.8102214]
28,[0.99330777],[0.00332045],[0.66922307],[4.315162]
29,[0.992131],[0.00321415],[0.7869005],[0.9755835]
30,[0.9896723],[0.00338518],[1.0327697],[6.3487062]
31,[0.9878307],[0.0032247],[1.2169302],[1.3068174]
32,[0.9892272],[0.00348918],[1.0772824],[9.615805]
33,[0.9918311],[0.00375386],[0.8168876],[17.930832]
34,[0.99406344],[0.00314318],[0.5936563],[1.25424]
35,[0.98700887],[0.00339844],[1.299113],[6.7649937]
36,[0.99592674],[0.00323081],[0.40732622],[1.4990156]
37,[0.9869861],[0.00393553],[1.3013899],[23.63837]
38,[0.98540735],[0.00347995],[1.4592648],[9.325986]
39,[0.98262733],[0.00333498],[1.7372668],[4.771585]
40,[0.98179245],[0.00333559],[1.820755],[4.7905226]
41,[0.98282784],[0.00327966],[1.7172158],[3.0335507]
42,[0.98486584],[0.00335855],[1.5134156],[5.512034]
43,[0.9792751],[0.00362706],[2.0724893],[13.947291]
0,[0.9852046],[0.00355572],[1.4795423],[11.706167]
1,[0.9962618],[0.0034737],[0.37382245],[9.12937]
2,[0.9756258],[0.0037171],[2.4374187],[16.776085]
3,[0.9818607],[0.00347421],[1.8139303],[9.1456585]
4,[0.97970676],[0.0032954],[2.0293236],[3.5279074]
5,[0.9932791],[0.00358452],[0.67209005],[12.611071]
6,[0.9926857],[0.00320374],[0.73143244],[0.64836526]
7,[0.9746291],[0.00356429],[2.5370896],[11.975432]
8,[0.9921277],[0.00331002],[0.78722835],[3.9873805]
9,[0.9982963],[0.00319635],[0.17036796],[0.4161563]
10,[0.9834524],[0.00337609],[1.654762],[6.0630784]
11,[0.9899293],[0.00329911],[1.0070682],[3.6446187]
12,[0.9670836],[0.00331204],[3.2916427],[4.0508714]
13,[0.9916549],[0.00303484],[0.8345127],[4.6576385]
14,[0.988357],[0.00331299],[1.1642992],[4.0807953]
15,[0.9945984],[0.0032786],[0.54016113],[3.0002985]
16,[0.97971267],[0.00354439],[2.0287335],[11.350174]
17,[0.99024016],[0.00320588],[0.97598433],[0.71576923]
18,[0.988789],[0.00348528],[1.1210978],[9.493402]
19,[0.97016424],[0.00323159],[2.983576],[1.5233146]
20,[0.98019624],[0.00344676],[1.9803762],[8.283064]
21,[0.9748008],[0.00340869],[2.5199175],[7.0870695]
22,[0.9977921],[0.00324629],[0.22078753],[1.9852235]
23,[0.98055655],[0.00341719],[1.9443452],[7.354213]
24,[0.9892789],[0.00334466],[1.0721087],[5.075726]
25,[0.98454046],[0.0033732],[1.5459538],[5.9723334]
26,[0.9290208],[0.00375861],[7.0979176],[18.080233]
27,[0.9921445],[0.00349161],[0.7855475],[9.69219]
28,[0.990029],[0.00346508],[0.99710226],[8.858751]
29,[0.9879274],[0.00352819],[1.2072623],[10.841305]
30,[1.0092131],[0.00328222],[0.921309],[3.114011]
31,[0.968573],[0.00322255],[3.1427026],[1.23945]
32,[1.0004163],[0.00352986],[0.04162788],[10.893802]
33,[0.9778386],[0.00322178],[2.2161424],[1.2152679]
34,[0.98388547],[0.0034963],[1.6114533],[9.839587]
35,[0.9829205],[0.00360291],[1.7079473],[13.188821]
36,[0.99599904],[0.00309267],[0.40009618],[2.8409429]
37,[0.98951226],[0.00349505],[1.0487735],[9.800102]
38,[0.98366725],[0.00331324],[1.6332746],[4.0886364]
39,[0.9791199],[0.00330517],[2.0880103],[3.835069]
40,[0.9888875],[0.00309852],[1.1112511],[2.6571712]
41,[0.98950326],[0.00318042],[1.0496736],[0.08430065]
42,[0.98231465],[0.00351101],[1.7685354],[10.301774]
43,[0.9878857],[0.00333258],[1.2114286],[4.6959743]
44,[0.99609274],[0.00320069],[0.39072633],[0.5526173]
45,[0.9802768],[0.00328893],[1.9723177],[3.3249128]
46,[0.9860355],[0.00308583],[1.3964474],[3.0558603]
47,[0.9925437],[0.00328538],[0.74563026],[3.2132773]
48,[0.994809],[0.00337859],[0.5191028],[6.141549]
49,[0.990212],[0.00338529],[0.9787977],[6.351998]
50,[0.98920166],[0.00311747],[1.0798335],[2.0618732]
51,[0.99160576],[0.0031104],[0.83942413],[2.2838197]
52,[0.9886018],[0.00349455],[1.1398196],[9.784654]
0,[0.9841],[0.00342764],[1.5900016],[7.682331]
1,[0.9768902],[0.00356136],[2.3109794],[11.883466]
2,[0.9823914],[0.00363378],[1.7608583],[14.158684]
3,[0.9801435],[0.00334302],[1.9856513],[5.024187]
4,[0.98750323],[0.00338484],[1.249677],[6.337902]
5,[0.97260475],[0.00362014],[2.7395248],[13.730057]
6,[0.9871427],[0.00343687],[1.2857318],[7.972471]
7,[1.0030174],[0.00344362],[0.30174255],[8.184595]
8,[0.98921573],[0.00363093],[1.0784268],[14.069176]
9,[0.9603074],[0.00245301],[3.969258],[22.936382]
10,[0.9806612],[0.00355476],[1.9338787],[11.676185]
11,[0.9840682],[0.00334698],[1.5931785],[5.148352]
12,[0.9793693],[0.00343582],[2.0630717],[7.939476]
13,[0.9940673],[0.00364065],[0.5932689],[14.374399]
14,[0.97862947],[0.00339631],[2.137053],[6.698117]
15,[0.9825589],[0.00370344],[1.7441094],[16.347004]
16,[0.9781859],[0.0036252],[2.1814108],[13.889061]
17,[0.9916183],[0.00355056],[0.83817244],[11.544252]
18,[0.9895703],[0.00342667],[1.042968],[7.652093]
19,[0.9898243],[0.00345364],[1.0175705],[8.499414]
20,[1.0014247],[0.00313322],[0.14246702],[1.5670998]
21,[0.9838389],[0.00346996],[1.6161084],[9.0120945]
22,[0.9839154],[0.00351617],[1.6084611],[10.463886]
23,[0.9916052],[0.00353838],[0.8394778],[11.16137]
24,[0.98971575],[0.00351608],[1.0284245],[10.46083]
25,[0.982492],[0.00369554],[1.750797],[16.098667]
26,[0.9960027],[0.00369299],[0.3997326],[16.018755]
27,[0.983115],[0.00322248],[1.6884983],[1.2373215]
28,[0.9917593],[0.00335862],[0.82407],[5.51425]
29,[0.97281146],[0.00340028],[2.718854],[6.82294]
30,[0.9984337],[0.00339984],[0.15662909],[6.8089833]
31,[0.9927059],[0.00329077],[0.72941184],[3.3825736]
32,[0.99499893],[0.0031951],[0.5001068],[0.37709638]
33,[0.9875552],[0.00346561],[1.2444794],[8.875209]
34,[0.98972446],[0.00330277],[1.0275543],[3.7595384]
35,[0.98930705],[0.00347129],[1.0692954],[9.053787]
36,[0.9867877],[0.00368263],[1.3212323],[15.693146]
37,[0.9868115],[0.00363946],[1.3188481],[14.3371525]
38,[0.98256755],[0.00333915],[1.7432451],[4.902363]
39,[0.99358875],[0.00343351],[0.64112544],[7.86682]
0,[0.9809681],[0.0036026],[1.9031882],[13.179165]
1,[0.95404196],[0.0033038],[4.595804],[3.7919567]
2,[0.9772334],[0.00333264],[2.276659],[4.697971]
3,[0.97333],[0.0032878],[2.666998],[3.289203]
4,[0.9934431],[0.00318168],[0.6556928],[0.04456048]
5,[0.9817742],[0.00325728],[1.8225789],[2.3305967]
6,[0.98071426],[0.00358202],[1.9285738],[12.532592]
7,[0.9890558],[0.00359169],[1.0944188],[12.83639]
8,[0.9858547],[0.00299386],[1.4145315],[5.945233]
9,[0.9892558],[0.00332636],[1.0744214],[4.5005574]
10,[0.9840003],[0.00352477],[1.5999675],[10.734008]
11,[0.9704891],[0.00320914],[2.9510915],[0.8182101]
12,[0.9824918],[0.0033628],[1.7508209],[5.6453495]
13,[0.9906079],[0.00325906],[0.93920827],[2.3862388]
14,[0.983377],[0.00336041],[1.662302],[5.570411]
15,[0.9964932],[0.00334029],[0.35067797],[4.938336]
16,[0.99031615],[0.003422],[0.96838474],[7.505377]
17,[0.9791206],[0.00389716],[2.0879388],[22.432877]
18,[0.9819877],[0.00333894],[1.8012285],[4.8958087]
19,[0.979197],[0.00308449],[2.0802975],[3.0979629]
20,[0.99156606],[0.00352105],[0.8433938],[10.617062]
21,[0.9857537],[0.00334272],[1.4246285],[5.014722]
22,[0.98798835],[0.00326983],[1.2011647],[2.724641]
23,[0.99189645],[0.00357519],[0.81035495],[12.318048]
24,[0.98349935],[0.00328035],[1.6500652],[3.0550776]
25,[0.98716134],[0.00315337],[1.2838662],[0.93405855]
26,[0.9793369],[0.00316209],[2.0663083],[0.65992963]
27,[0.9638583],[0.00336095],[3.6141694],[5.5873814]
28,[0.9911316],[0.00314933],[0.8868396],[1.0608131]
29,[0.9876863],[0.00340886],[1.2313724],[7.0924826]
30,[0.98544955],[0.00349635],[1.4550447],[9.84121]
31,[0.99216604],[0.00347741],[0.78339577],[9.246154]
32,[0.9917369],[0.00309639],[0.8263111],[2.7240777]
33,[0.9794451],[0.00347087],[2.05549],[9.040739]
34,[0.99371445],[0.00299576],[0.6285548],[5.885429]
35,[0.9702663],[0.00306556],[2.9733717],[3.6926098]
36,[0.9788111],[0.0033247],[2.1188915],[4.448653]
37,[0.9845923],[0.00334353],[1.5407681],[5.0399575]
38,[0.99160826],[0.00358145],[0.8391738],[12.514612]
39,[0.9840587],[0.00321186],[1.5941322],[0.90367377]
40,[0.98171145],[0.00315409],[1.8288553],[0.91147107]
41,[0.98751813],[0.00346609],[1.2481868],[8.890577]
42,[0.97886616],[0.00322366],[2.113384],[1.2744064]
43,[0.99013966],[0.00323187],[0.9860337],[1.5321287]
44,[0.9815349],[0.00352129],[1.8465102],[10.62445]
45,[0.98798424],[0.0033462],[1.201576],[5.123841]
46,[0.9917911],[0.00333162],[0.8208871],[4.6658306]
47,[1.0027874],[0.00354792],[0.27873516],[11.461151]
48,[0.988458],[0.00316806],[1.1542022],[0.47241282]
49,[0.995295],[0.00352799],[0.47050118],[10.835014]
50,[0.9787289],[0.00324037],[2.127111],[1.799338]
51,[0.9885566],[0.00315707],[1.1443377],[0.81773454]
52,[0.98513335],[0.00351259],[1.486665],[10.351381]
0,[0.9886293],[0.00311823],[1.1370718],[2.0379617]
1,[0.98800296],[0.00348845],[1.1997044],[9.59291]
2,[0.98385483],[0.00355586],[1.614517],[11.710484]
3,[0.98708034],[0.00331937],[1.2919664],[4.2810397]
4,[0.9845823],[0.00332275],[1.5417695],[4.387357]
5,[0.98686624],[0.00315115],[1.3133764],[1.003708]
6,[0.9831004],[0.00320099],[1.6899586],[0.5621116]
7,[0.9932863],[0.00334278],[0.67136884],[5.016675]
8,[0.9748617],[0.00329854],[2.5138319],[3.6266322]
9,[0.973103],[0.00315446],[2.6897013],[0.8995629]
10,[0.9922836],[0.00328428],[0.77164173],[3.178833]
11,[0.98175985],[0.00346637],[1.8240154],[8.899142]
12,[0.9757775],[0.00339047],[2.4222493],[6.5148644]
13,[0.9959937],[0.00342492],[0.40063262],[7.596919]
14,[0.97781557],[0.00350861],[2.2184432],[10.226323]
15,[0.9758509],[0.00330701],[2.414912],[3.8927662]
16,[0.9989741],[0.00339965],[0.10259151],[6.8032346]
17,[0.9799595],[0.00339323],[2.0040512],[6.601498]
18,[0.9891019],[0.0031795],[1.0898113],[0.11316403]
19,[0.9802028],[0.00316466],[1.9797206],[0.57927895]
20,[0.9810855],[0.00348629],[1.8914521],[9.524994]
21,[0.96753556],[0.00346294],[3.2464445],[8.791501]
22,[0.9757957],[0.00317785],[2.4204314],[0.16492938]
23,[0.96896124],[0.00313186],[3.103876],[1.6097072]
24,[0.99611974],[0.00342518],[0.38802624],[7.6052866]
25,[0.98345315],[0.00336441],[1.6546845],[5.6960397]
26,[0.99102867],[0.00353892],[0.89713335],[11.178544]
27,[0.99002707],[0.00312445],[0.997293],[1.8424137]
28,[0.98581225],[0.00334453],[1.4187753],[5.071622]
29,[0.9926032],[0.00334077],[0.7396817],[4.953448]
30,[0.9879734],[0.00317316],[1.2026608],[0.31220132]
31,[0.99207604],[0.00342724],[0.79239607],[7.669955]
32,[0.9963959],[0.00338832],[0.3604114],[6.447336]
33,[0.99494255],[0.00342348],[0.5057454],[7.551678]
34,[0.9828514],[0.00330337],[1.7148614],[3.778293]
35,[0.9538441],[0.00363382],[4.615593],[14.1598835]
36,[0.9764444],[0.0034918],[2.3555577],[9.698261]
37,[0.9955045],[0.00341861],[0.44955015],[7.3987007]
38,[0.9896124],[0.00323025],[1.03876],[1.4812557]
39,[0.96807677],[0.00320175],[3.1923234],[0.58599377]
40,[0.9855376],[0.00331943],[1.4462411],[4.2828827]
0,[0.9809681],[0.0036026],[1.9031882],[13.179165]
1,[0.95404196],[0.0033038],[4.595804],[3.7919567]
2,[0.9772334],[0.00333264],[2.276659],[4.697971]
3,[0.97333],[0.0032878],[2.666998],[3.289203]
4,[0.9934431],[0.00318168],[0.6556928],[0.04456048]
5,[0.9817742],[0.00325728],[1.8225789],[2.3305967]
6,[0.98071426],[0.00358202],[1.9285738],[12.532592]
7,[0.9890558],[0.00359169],[1.0944188],[12.83639]
8,[0.9858547],[0.00299386],[1.4145315],[5.945233]
9,[0.9892558],[0.00332636],[1.0744214],[4.5005574]
10,[0.9840003],[0.00352477],[1.5999675],[10.734008]
11,[0.9704891],[0.00320914],[2.9510915],[0.8182101]
12,[0.9824918],[0.0033628],[1.7508209],[5.6453495]
13,[0.9906079],[0.00325906],[0.93920827],[2.3862388]
14,[0.983377],[0.00336041],[1.662302],[5.570411]
15,[0.9964932],[0.00334029],[0.35067797],[4.938336]
16,[0.99031615],[0.003422],[0.96838474],[7.505377]
17,[0.9791206],[0.00389716],[2.0879388],[22.432877]
18,[0.9819877],[0.00333894],[1.8012285],[4.8958087]
19,[0.979197],[0.00308449],[2.0802975],[3.0979629]
20,[0.99156606],[0.00352105],[0.8433938],[10.617062]
21,[0.9857537],[0.00334272],[1.4246285],[5.014722]
22,[0.98798835],[0.00326983],[1.2011647],[2.724641]
23,[0.99189645],[0.00357519],[0.81035495],[12.318048]
24,[0.98349935],[0.00328035],[1.6500652],[3.0550776]
25,[0.98716134],[0.00315337],[1.2838662],[0.93405855]
26,[0.9793369],[0.00316209],[2.0663083],[0.65992963]
27,[0.9638583],[0.00336095],[3.6141694],[5.5873814]
28,[0.9911316],[0.00314933],[0.8868396],[1.0608131]
29,[0.9876863],[0.00340886],[1.2313724],[7.0924826]
30,[0.98544955],[0.00349635],[1.4550447],[9.84121]
31,[0.99216604],[0.00347741],[0.78339577],[9.246154]
32,[0.9917369],[0.00309639],[0.8263111],[2.7240777]
33,[0.9794451],[0.00347087],[2.05549],[9.040739]
34,[0.99371445],[0.00299576],[0.6285548],[5.885429]
35,[0.9702663],[0.00306556],[2.9733717],[3.6926098]
36,[0.9788111],[0.0033247],[2.1188915],[4.448653]
37,[0.9845923],[0.00334353],[1.5407681],[5.0399575]
38,[0.99160826],[0.00358145],[0.8391738],[12.514612]
39,[0.9840587],[0.00321186],[1.5941322],[0.90367377]
40,[0.98171145],[0.00315409],[1.8288553],[0.91147107]
41,[0.98751813],[0.00346609],[1.2481868],[8.890577]
42,[0.97886616],[0.00322366],[2.113384],[1.2744064]
43,[0.99013966],[0.00323187],[0.9860337],[1.5321287]
44,[0.9815349],[0.00352129],[1.8465102],[10.62445]
45,[0.98798424],[0.0033462],[1.201576],[5.123841]
46,[0.9917911],[0.00333162],[0.8208871],[4.6658306]
47,[1.0027874],[0.00354792],[0.27873516],[11.461151]
48,[0.988458],[0.00316806],[1.1542022],[0.47241282]
49,[0.995295],[0.00352799],[0.47050118],[10.835014]
50,[0.9787289],[0.00324037],[2.127111],[1.799338]
51,[0.9885566],[0.00315707],[1.1443377],[0.81773454]
52,[0.98513335],[0.00351259],[1.486665],[10.351381]
0,[0.9841],[0.00342764],[1.5900016],[7.682331]
1,[0.9768902],[0.00356136],[2.3109794],[11.883466]
2,[0.9823914],[0.00363378],[1.7608583],[14.158684]
3,[0.9801435],[0.00334302],[1.9856513],[5.024187]
4,[0.98750323],[0.00338484],[1.249677],[6.337902]
5,[0.97260475],[0.00362014],[2.7395248],[13.730057]
6,[0.9871427],[0.00343687],[1.2857318],[7.972471]
7,[1.0030174],[0.00344362],[0.30174255],[8.184595]
8,[0.98921573],[0.00363093],[1.0784268],[14.069176]
9,[0.9603074],[0.00245301],[3.969258],[22.936382]
10,[0.9806612],[0.00355476],[1.9338787],[11.676185]
11,[0.9840682],[0.00334698],[1.5931785],[5.148352]
12,[0.9793693],[0.00343582],[2.0630717],[7.939476]
13,[0.9940673],[0.00364065],[0.5932689],[14.374399]
14,[0.97862947],[0.00339631],[2.137053],[6.698117]
15,[0.9825589],[0.00370344],[1.7441094],[16.347004]
16,[0.9781859],[0.0036252],[2.1814108],[13.889061]
17,[0.9916183],[0.00355056],[0.83817244],[11.544252]
18,[0.9895703],[0.00342667],[1.042968],[7.652093]
19,[0.9898243],[0.00345364],[1.0175705],[8.499414]
20,[1.0014247],[0.00313322],[0.14246702],[1.5670998]
21,[0.9838389],[0.00346996],[1.6161084],[9.0120945]
22,[0.9839154],[0.00351617],[1.6084611],[10.463886]
23,[0.9916052],[0.00353838],[0.8394778],[11.16137]
24,[0.98971575],[0.00351608],[1.0284245],[10.46083]
25,[0.982492],[0.00369554],[1.750797],[16.098667]
26,[0.9960027],[0.00369299],[0.3997326],[16.018755]
27,[0.983115],[0.00322248],[1.6884983],[1.2373215]
28,[0.9917593],[0.00335862],[0.82407],[5.51425]
29,[0.97281146],[0.00340028],[2.718854],[6.82294]
30,[0.9984337],[0.00339984],[0.15662909],[6.8089833]
31,[0.9927059],[0.00329077],[0.72941184],[3.3825736]
32,[0.99499893],[0.0031951],[0.5001068],[0.37709638]
33,[0.9875552],[0.00346561],[1.2444794],[8.875209]
34,[0.98972446],[0.00330277],[1.0275543],[3.7595384]
35,[0.98930705],[0.00347129],[1.0692954],[9.053787]
36,[0.9867877],[0.00368263],[1.3212323],[15.693146]
37,[0.9868115],[0.00363946],[1.3188481],[14.3371525]
38,[0.98256755],[0.00333915],[1.7432451],[4.902363]
39,[0.99358875],[0.00343351],[0.64112544],[7.86682]
40,[0.96637064],[0.00297244],[3.3629358],[6.618015]
41,[0.985783],[0.00367313],[1.4217019],[15.394805]
42,[0.9939023],[0.00362115],[0.60976744],[13.761729]
43,[0.97889227],[0.00327032],[2.1107733],[2.7400234]
44,[0.9898121],[0.0033435],[1.0187924],[5.0392113]
45,[0.985537],[0.00341934],[1.4463007],[7.4216976]
46,[0.9991067],[0.00348393],[0.08932948],[9.451014]
47,[0.9710289],[0.00318828],[2.8971076],[0.16289592]
48,[0.97822595],[0.00332278],[2.1774054],[4.3882055]
49,[0.991185],[0.00337477],[0.88149905],[6.0215683]
